"Year","replacecolumns","from","to"
1994,"label_cause","162","ncd_lri"
1995,"label_cause","162","ncd_lri"
1996,"label_cause","162","ncd_lri"
1997,"label_cause","162","ncd_lri"
1998,"label_cause","162","ncd_lri"
1990,"label_cause","163","ncd_lri"
1991,"label_cause","163","ncd_lri"
1992,"label_cause","163","ncd_lri"
1993,"label_cause","163","ncd_lri"
1994,"label_cause","163","ncd_lri"
1995,"label_cause","163","ncd_lri"
1996,"label_cause","163","ncd_lri"
1997,"label_cause","163","ncd_lri"
1998,"label_cause","163","ncd_lri"
1990,"label_cause","164","ncd_lri"
1991,"label_cause","164","ncd_lri"
1992,"label_cause","164","ncd_lri"
1993,"label_cause","164","ncd_lri"
1994,"label_cause","164","ncd_lri"
1995,"label_cause","164","ncd_lri"
1996,"label_cause","164","ncd_lri"
1997,"label_cause","164","ncd_lri"
1998,"label_cause","164","ncd_lri"
1990,"label_cause","165","ncd_lri"
1991,"label_cause","165","ncd_lri"
1992,"label_cause","165","ncd_lri"
1993,"label_cause","165","ncd_lri"
1994,"label_cause","165","ncd_lri"
1995,"label_cause","165","ncd_lri"
1996,"label_cause","165","ncd_lri"
1997,"label_cause","165","ncd_lri"
1998,"label_cause","165","ncd_lri"
1990,"label_cause","166","ncd_lri"
1991,"label_cause","166","ncd_lri"
1992,"label_cause","166","ncd_lri"
1993,"label_cause","166","ncd_lri"
1994,"label_cause","166","ncd_lri"
1995,"label_cause","166","ncd_lri"
1996,"label_cause","166","ncd_lri"
1997,"label_cause","166","ncd_lri"
1998,"label_cause","166","ncd_lri"
1990,"label_cause","167","ncd_lri"
1991,"label_cause","167","ncd_lri"
1992,"label_cause","167","ncd_lri"
1993,"label_cause","167","ncd_lri"
1994,"label_cause","167","ncd_lri"
1995,"label_cause","167","ncd_lri"
1996,"label_cause","167","ncd_lri"
1997,"label_cause","167","ncd_lri"
1998,"label_cause","167","ncd_lri"
1990,"label_cause","168","ncd_lri"
1991,"label_cause","168","ncd_lri"
1992,"label_cause","168","ncd_lri"
1993,"label_cause","168","ncd_lri"
1994,"label_cause","168","ncd_lri"
1995,"label_cause","168","ncd_lri"
1996,"label_cause","168","ncd_lri"
1997,"label_cause","168","ncd_lri"
1998,"label_cause","168","ncd_lri"
1990,"label_cause","169","ncd_lri"
1991,"label_cause","169","ncd_lri"
1992,"label_cause","169","ncd_lri"
1993,"label_cause","169","ncd_lri"
1994,"label_cause","169","ncd_lri"
1995,"label_cause","169","ncd_lri"
1996,"label_cause","169","ncd_lri"
1997,"label_cause","169","ncd_lri"
1998,"label_cause","169","ncd_lri"
1990,"label_cause","170","ncd_lri"
1991,"label_cause","170","ncd_lri"
1992,"label_cause","170","ncd_lri"
1993,"label_cause","170","ncd_lri"
1994,"label_cause","170","ncd_lri"
1995,"label_cause","170","ncd_lri"
1996,"label_cause","170","ncd_lri"
1997,"label_cause","170","ncd_lri"
1998,"label_cause","170","ncd_lri"
1990,"label_cause","171","ncd_lri"
1991,"label_cause","171","ncd_lri"
1992,"label_cause","171","ncd_lri"
1993,"label_cause","171","ncd_lri"
1994,"label_cause","171","ncd_lri"
1995,"label_cause","171","ncd_lri"
1996,"label_cause","171","ncd_lri"
1997,"label_cause","171","ncd_lri"
1998,"label_cause","171","ncd_lri"
1990,"label_cause","172","ncd_lri"
1991,"label_cause","172","ncd_lri"
1992,"label_cause","172","ncd_lri"
1993,"label_cause","172","ncd_lri"
1994,"label_cause","172","ncd_lri"
1995,"label_cause","172","ncd_lri"
1996,"label_cause","172","ncd_lri"
1997,"label_cause","172","ncd_lri"
1998,"label_cause","172","ncd_lri"
1990,"label_cause","173","ncd_lri"
1991,"label_cause","173","ncd_lri"
1992,"label_cause","173","ncd_lri"
1993,"label_cause","173","ncd_lri"
1994,"label_cause","173","ncd_lri"
1995,"label_cause","173","ncd_lri"
1996,"label_cause","173","ncd_lri"
1997,"label_cause","173","ncd_lri"
1998,"label_cause","173","ncd_lri"
1990,"label_cause","174","ncd_lri"
1991,"label_cause","174","ncd_lri"
1992,"label_cause","174","ncd_lri"
1993,"label_cause","174","ncd_lri"
1994,"label_cause","174","ncd_lri"
1995,"label_cause","174","ncd_lri"
1996,"label_cause","174","ncd_lri"
1997,"label_cause","174","ncd_lri"
1998,"label_cause","174","ncd_lri"
1990,"label_cause","175","ncd_lri"
1991,"label_cause","175","ncd_lri"
1992,"label_cause","175","ncd_lri"
1993,"label_cause","175","ncd_lri"
1994,"label_cause","175","ncd_lri"
1995,"label_cause","175","ncd_lri"
1996,"label_cause","175","ncd_lri"
1997,"label_cause","175","ncd_lri"
1998,"label_cause","175","ncd_lri"
1990,"label_cause","176","ncd_lri"
1991,"label_cause","176","ncd_lri"
1992,"label_cause","176","ncd_lri"
1993,"label_cause","176","ncd_lri"
1994,"label_cause","176","ncd_lri"
1995,"label_cause","176","ncd_lri"
1996,"label_cause","176","ncd_lri"
1997,"label_cause","176","ncd_lri"
1998,"label_cause","176","ncd_lri"
1990,"label_cause","177","ncd_lri"
1991,"label_cause","177","ncd_lri"
1992,"label_cause","177","ncd_lri"
1993,"label_cause","177","ncd_lri"
1994,"label_cause","177","ncd_lri"
1995,"label_cause","177","ncd_lri"
1996,"label_cause","177","ncd_lri"
1997,"label_cause","177","ncd_lri"
1998,"label_cause","177","ncd_lri"
1990,"label_cause","178","ncd_lri"
1991,"label_cause","178","ncd_lri"
1992,"label_cause","178","ncd_lri"
1993,"label_cause","178","ncd_lri"
1994,"label_cause","178","ncd_lri"
1995,"label_cause","178","ncd_lri"
1996,"label_cause","178","ncd_lri"
1997,"label_cause","178","ncd_lri"
1998,"label_cause","178","ncd_lri"
1990,"label_cause","179","ncd_lri"
1991,"label_cause","179","ncd_lri"
1992,"label_cause","179","ncd_lri"
1993,"label_cause","179","ncd_lri"
1994,"label_cause","179","ncd_lri"
1995,"label_cause","179","ncd_lri"
