"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"3 years"	"3"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	692252
	"3 years"	"3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2267146
	"3 years"	"3"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	738768
	"3 years"	"3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2258103
	"3 years"	"3"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	804428
	"3 years"	"3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2295478
	"3 years"	"3"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	818249
	"3 years"	"3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2233298
	"3 years"	"3"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	833533
	"3 years"	"3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2232490
	"3 years"	"3"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	848880
	"3 years"	"3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2234180
	"3 years"	"3"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	860850
	"3 years"	"3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2186604
	"3 years"	"3"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	885098
	"3 years"	"3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2174999
