"FIPS.code","rural_urban_class","fromYear"
13105,3,2000
13105,3,1990
13107,3,2000
13107,3,1990
13109,3,2000
13109,3,1990
13113,1,2000
13113,1,1990
13115,2,2000
13115,2,1990
13121,1,2000
13089,1,2000
13089,1,1990
13121,1,1990
13123,3,2000
13111,3,2000
13111,3,1990
13123,3,1990
13125,3,2000
13125,3,1990
13127,2,2000
13025,2,2000
13025,2,1990
13127,2,1990
13213,3,2000
13213,3,1990
13131,3,2000
13131,3,1990
13221,3,2000
13133,3,2000
13265,3,2000
13133,3,1990
13221,3,1990
13265,3,1990
13135,1,2000
13297,1,2000
13135,1,1990
13297,1,1990
13139,2,2000
13137,2,2000
13011,2,2000
13187,2,2000
13011,2,1990
13137,2,1990
13139,2,1990
13187,2,1990
13145,2,2000
13145,2,1990
13147,3,2000
13147,3,1990
13149,1,2000
13149,1,1990
13151,1,2000
13035,1,2000
13035,1,1990
13151,1,1990
13153,2,2000
13225,2,2000
13153,2,1990
13225,2,1990
13155,3,2000
13155,3,1990
13157,3,2000
13157,3,1990
13167,3,2000
13167,3,1990
13169,2,2000
13169,2,1990
13231,1,2000
13231,1,1990
13173,2,2000
13173,2,1990
13175,3,2000
13023,3,2000
13283,3,2000
13091,3,2000
13023,3,1990
13091,3,1990
13175,3,1990
13283,3,1990
13177,2,2000
13177,2,1990
13179,2,2000
13179,2,1990
13181,2,2000
13181,2,1990
13185,2,2000
13019,2,2000
13019,2,1990
13185,2,1990
13311,3,2000
13291,3,2000
13291,3,1990
13311,3,1990
13189,2,2000
13301,2,2000
13189,2,1990
13301,2,1990
13183,2,2000
13191,2,2000
13183,2,1990
13191,2,1990
13269,3,2000
13269,3,1990
13119,2,2000
13119,2,1990
13197,2,2000
13197,2,1990
13199,1,2000
13199,1,1990
13201,3,2000
13201,3,1990
13207,2,2000
13079,2,2000
13171,2,2000
13079,2,1990
13171,2,1990
13207,2,1990
13209,3,2000
13209,3,1990
13215,2,2000
13215,2,1990
13217,1,2000
13159,1,2000
13159,1,1990
13217,1,1990
13219,2,2000
13219,2,1990
13223,1,2000
13223,1,1990
13085,1,2000
